index,precision,recall,f1-score,support,Clasificador
0,0.9020979020979021,0.9046283309957924,0.9033613445378152,713.0,Decision Tree con datos Original
1,0.9042253521126761,0.901685393258427,0.9029535864978904,712.0,Decision Tree con datos Original
accuracy,0.9031578947368422,0.9031578947368422,0.9031578947368422,0.9031578947368422,Decision Tree con datos Original
macro avg,0.9031616271052891,0.9031568621271098,0.9031574655178528,1425.0,Decision Tree con datos Original
weighted avg,0.9031608806315997,0.9031578947368422,0.9031576085908493,1425.0,Decision Tree con datos Original
0,0.7991573033707865,0.7980364656381487,0.7985964912280703,713.0,Logistic Regression con datos Original
1,0.7980364656381487,0.7991573033707865,0.7985964912280703,712.0,Logistic Regression con datos Original
accuracy,0.7985964912280702,0.7985964912280702,0.7985964912280702,0.7985964912280702,Logistic Regression con datos Original
macro avg,0.7985968845044675,0.7985968845044675,0.7985964912280703,1425.0,Logistic Regression con datos Original
weighted avg,0.7985972777808651,0.7985964912280702,0.7985964912280702,1425.0,Logistic Regression con datos Original
0,0.8688981868898187,0.8737727910238429,0.8713286713286713,713.0,KNN con datos Original
1,0.8728813559322034,0.8679775280898876,0.8704225352112677,712.0,KNN con datos Original
accuracy,0.8708771929824561,0.8708771929824561,0.8708771929824561,0.8708771929824561,KNN con datos Original
macro avg,0.8708897714110111,0.8708751595568652,0.8708756032699695,1425.0,KNN con datos Original
weighted avg,0.8708883738078382,0.8708771929824561,0.8708759212124667,1425.0,KNN con datos Original
0,0.8520114942528736,0.8316970546984572,0.8417317246273953,713.0,Gaussian Naive Bayes con datos Original
1,0.8353909465020576,0.8553370786516854,0.8452463566967383,712.0,Gaussian Naive Bayes con datos Original
accuracy,0.8435087719298245,0.8435087719298245,0.8435087719298245,0.8435087719298245,Gaussian Naive Bayes con datos Original
macro avg,0.8437012203774656,0.8435170666750713,0.8434890406620668,1425.0,Gaussian Naive Bayes con datos Original
weighted avg,0.8437070521486062,0.8435087719298245,0.843487807457832,1425.0,Gaussian Naive Bayes con datos Original
0,0.5049365303244006,0.5021037868162693,0.5035161744022504,713.0,Base Dummy con datos Original
1,0.5041899441340782,0.5070224719101124,0.5056022408963585,712.0,Base Dummy con datos Original
accuracy,0.5045614035087719,0.5045614035087719,0.5045614035087719,0.5045614035087719,Base Dummy con datos Original
macro avg,0.5045632372292395,0.5045631293631909,0.5045592076493044,1425.0,Base Dummy con datos Original
weighted avg,0.5045634991893062,0.504561403508772,0.5045584756961485,1425.0,Base Dummy con datos Original
0,0.9179229480737019,0.7685834502103787,0.8366412213740458,713.0,SVM con datos Original
1,0.8007246376811594,0.9311797752808989,0.861038961038961,712.0,SVM con datos Original
accuracy,0.8498245614035088,0.8498245614035088,0.8498245614035088,0.8498245614035088,SVM con datos Original
macro avg,0.8593237928774307,0.8498816127456388,0.8488400912065035,1425.0,SVM con datos Original
weighted avg,0.8593649150916035,0.8498245614035088,0.8488315305960947,1425.0,SVM con datos Original
0,0.9109874826147427,0.9186535764375876,0.914804469273743,713.0,RandomForest con datos Original
1,0.9178470254957507,0.9101123595505618,0.9139633286318759,712.0,RandomForest con datos Original
accuracy,0.9143859649122807,0.9143859649122807,0.9143859649122807,0.9143859649122807,RandomForest con datos Original
macro avg,0.9144172540552467,0.9143829679940747,0.9143838989528095,1425.0,RandomForest con datos Original
weighted avg,0.9144148471980955,0.9143859649122807,0.9143841940898768,1425.0,RandomForest con datos Original
0,0.6663479923518164,0.9775596072931276,0.7924957362137578,713.0,SVM RBF con datos Original
1,0.9577836411609498,0.5098314606741573,0.6654445462878094,712.0,SVM RBF con datos Original
accuracy,0.743859649122807,0.743859649122807,0.743859649122807,0.743859649122807,SVM RBF con datos Original
macro avg,0.8120658167563831,0.7436955339836424,0.7289701412507836,1425.0,SVM RBF con datos Original
weighted avg,0.8119635586339939,0.743859649122807,0.7290147206156699,1425.0,SVM RBF con datos Original
0,0.5007022471910112,1.0,0.6672905942910622,713.0,SVM Poly con datos Original
1,1.0,0.0014044943820224719,0.0028050490883590466,712.0,SVM Poly con datos Original
accuracy,0.5010526315789474,0.5010526315789474,0.5010526315789474,0.5010526315789474,SVM Poly con datos Original
macro avg,0.7503511235955056,0.5007022471910112,0.33504782168971065,1425.0,SVM Poly con datos Original
weighted avg,0.7501759314015375,0.5010526315789474,0.33528097451258876,1425.0,SVM Poly con datos Original
